UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Santa Barbara,MiraCosta College,A,A,1,CMPSC 40 - Foundations of Computer Science,CS 226 - Discrete Structures,MATH 226 - Discrete Mathematics,MATH 226H - Discrete Mathematics (Honors),
University of California Santa Barbara,MiraCosta College,A,A,1,CMPSC 32 - Object Oriented Design and Implementation,CS 151 - Advanced C++ Programming,,,
University of California Santa Barbara,MiraCosta College,A,A,1,CMPSC 64 - Computer Organization and Logic Design,CS 220 - Computer Architecture and Assembly Language,,,
University of California Santa Barbara,MiraCosta College,A,A,1,"MATH 6A - Vector Calculus with Applications, First Course",MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 1 - Basic Physics,PHYS 151 - Principles of Physics I,PHYS 151H - Principles of Physics I (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 2 - Basic Physics,PHYS 151 - Principles of Physics I & PHYS 152 - Principles of Physics II,PHYS 151H - Principles of Physics I (Honors) & PHYS 152H - Principles of Physics II (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 3 - Basic Physics & PHYS 3L - Physics Laboratory,PHYS 152 - Principles of Physics II,PHYS 152H - Principles of Physics II (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 6A - Introductory Physics & PHYS 6AL - Introductory Experimental Physics & PHYS 6B - Introductory Physics & PHYS 6BL - Introductory Experimental Physics & PHYS 6C - Introductory Physics & PHYS 6CL - Introductory Experimental Physics,PHYS 111 - Introductory Physics I & PHYS 112 - Introductory Physics II,PHYS 111H - Introductory Physics I (Honors) & PHYS 112H - Introductory Physics II (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 7A - Basic Physics,PHYS 151 - Principles of Physics I,PHYS 151H - Principles of Physics I (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 7B - Basic Physics,PHYS 151 - Principles of Physics I & PHYS 151H - Principles of Physics I (Honors),PHYS 152 - Principles of Physics II & PHYS 152H - Principles of Physics II (Honors),PHYS 253 - Principles of Physics III & PHYS 253H - Principles of Physics III (Honors),
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 7C - Basic Physics,PHYS 152 - Principles of Physics II & PHYS 152H - Principles of Physics II (Honors),PHYS 253 - Principles of Physics III & PHYS 253H - Principles of Physics III (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 7D - Basic Physics,PHYS 152 - Principles of Physics II & PHYS 152H - Principles of Physics II (Honors),PHYS 253 - Principles of Physics III & PHYS 253H - Principles of Physics III (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,PHYS 7L - Physics Laboratory,PHYS 151 - Principles of Physics I & PHYS 151H - Principles of Physics I (Honors),PHYS 152 - Principles of Physics II & PHYS 152H - Principles of Physics II (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,CHEM 1A - General Chemistry & CHEM 1AL - General Chemistry Laboratory & CHEM 1B - General Chemistry & CHEM 1BL - General Chemistry Laboratory & CHEM 1C - General Chemistry & CHEM 1CL - General Chemistry Laboratory,CHEM 150 - General Chemistry I: For Science Majors & CHEM 150H - General Chemistry I : For Science Majors (Honors),CHEM 151 - General Chemistry II: For Science Majors & CHEM 151H - General Chemistry II : For Science Majors (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,MCDB 1A - Introductory Biology I & MCDB 1LL - Introductory Biology Laboratory I,"BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204 - Foundations of Biology: Biochemistry, Cell Biology, Genetics and Molecular Biology","BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204H - Foundations of Biology: Biochemistry, Cell Biology, Genetics, and Molecular Biology(Honors)",,
University of California Santa Barbara,MiraCosta College,A,A,1,MCDB 1B - Introductory Biology II - Physiology,"BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204 - Foundations of Biology: Biochemistry, Cell Biology, Genetics and Molecular Biology","BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204H - Foundations of Biology: Biochemistry, Cell Biology, Genetics, and Molecular Biology(Honors)",,
